protein,degree,eigenvector,katz,page rank,betweenness,subgraph,closeness
51,22.0,0.04788206353155895,0.058132557457044265,0.004208914916356136,0.0016177090298052689,4407076352.73949,0.4154929577464789
52,4.0,0.005798373784916562,0.058027834531284885,0.0012674971291413728,0.0001375315094968282,64456924.165037654,0.35160905840286055
53,3.0,0.005945059816179819,0.058022023617978716,0.0007740669501275141,6.961689085044116e-05,67785795.12355706,0.34104046242774566
54,24.0,0.05005936631519605,0.0581441804827274,0.0036219292220903486,0.0019144197242510538,4812226356.101234,0.4294032023289665
55,13.0,0.018324684263441464,0.0580801648227036,0.0021997088331833924,0.0041951477695536775,644183185.8633064,0.4154929577464789
56,23.0,0.04094399489889818,0.05813828984977573,0.004329471343394949,0.005784426351534687,3215177472.8477263,0.427536231884058
57,31.0,0.07531600162289086,0.05818493436094751,0.0052249001386255245,0.0037474249900821778,10888275626.218445,0.4616588419405321
58,18.0,0.021667448572454374,0.05810919212145308,0.003052295085159777,0.004312360907576852,900181757.8020965,0.41316526610644255
59,32.0,0.11004701433747734,0.058190794864113556,0.004421564693420147,0.0027228372214112384,23233534805.81163,0.4490106544901065
60,34.0,0.11158062061125154,0.05820242774941605,0.005411805687687522,0.004999483646588932,23880343789.361897,0.46899841017488075
61,18.0,0.03253709319192468,0.05810927297943857,0.0033026178923150707,0.003428257429880834,2031113927.346345,0.4357459379615953
62,32.0,0.06536304577658399,0.05819073704670932,0.005495375534916568,0.007471762950619608,8198427476.1964035,0.4765751211631664
63,7.0,0.011379040483527872,0.05804529810736889,0.0013579397477908412,0.0002966265535292239,248336101.5915012,0.3801546391752577
64,36.0,0.12007566222571715,0.058214065932451306,0.005343031494438483,0.004272087158183646,27650576632.424976,0.472
65,22.0,0.04677363268674344,0.058132537706251056,0.0052755256472616936,0.0010564513858897576,4205376985.639958,0.4074585635359116
66,6.0,0.014846671491196207,0.05803949769132647,0.0009841451033716939,6.764037589856515e-05,422614377.15987396,0.3762755102040816
67,4.0,0.006581938785963014,0.05802784209456073,0.0011056175043589339,0.0001698477047585802,83089156.0013738,0.3580097087378641
68,6.0,0.008536473419317452,0.05803946045075876,0.0009703560307875365,0.0012509399891965018,139711829.550592,0.3729456384323641
69,23.0,0.069983385053682,0.058138439985363305,0.002424431437945678,0.0022798516320236047,9389446497.425638,0.45950155763239875
70,13.0,0.01173825616526563,0.05808011830070624,0.002799021283241778,0.0008160644309554437,264431654.9843004,0.37579617834394907
71,5.0,0.011595815248790125,0.05803366291974841,0.000941500243875192,0.0004846740819621549,257846647.96624866,0.37247474747474746
72,23.0,0.05368197542805043,0.058138377131943,0.002303044357294772,0.002973915198227303,5530400017.196002,0.44029850746268656
73,11.0,0.015668850043303928,0.0580685394911062,0.00154514140483486,0.0016292706205647044,471118715.51224583,0.39703903095558546
74,7.0,0.021090751292391786,0.05804532956522749,0.00134494479562609,0.00019822551888788763,852775835.438134,0.405777166437414
75,22.0,0.03656806868095854,0.0581324887744532,0.0030553686834585035,0.007208552972704686,2563722354.336144,0.43833580980683506
76,36.0,0.12008130471798496,0.05821405603153268,0.007347809145055296,0.004786262248358577,27664383512.68873,0.45384615384615384
77,18.0,0.03198993857183896,0.0581092398408971,0.0037367178219240614,0.0013587966054775954,1962710262.022226,0.4030054644808743
78,1.0,0.002574958445005621,0.058010399437830325,0.0005647395164732115,0.0,12721366.266310323,0.3089005235602094
79,5.0,0.007042710505647712,0.05803365184348287,0.00084273833206831,0.00014485786451081883,95149198.5792705,0.3499406880189798
