protein,degree,eigenvector,katz,page rank,betweenness,subgraph,closeness
YBL045C,69.0,0.0006184276224996623,0.006551932055100331,0.0004387094913351689,0.0015082496596244184,4.658958887445165e+87,0.2829028290282903
YLR395C,47.0,0.0003531672369464305,0.005887020714520199,0.0002795768855400919,0.00011946624716017495,1.519151654273496e+87,0.2732402732402732
YBL099W,158.0,0.021330818614246332,0.02396631088991532,0.0006386155161483972,0.008569190305042145,5.543978505979833e+90,0.3156089193825043
Q0120,41.0,0.00026315143385178245,0.00566742461268797,0.0003065665382196364,0.006342965944066578,8.434448994655604e+86,0.2768721472638812
Q0070,34.0,0.00014300707510265303,0.005431320940036336,0.0002195358014939524,4.7247834162355275e-05,2.4889421814841726e+86,0.26159897635183166
YGL187C,66.0,0.0004664754735162793,0.006393370222273195,0.00039966263905218173,0.0007509408955983183,2.650617483107116e+87,0.2803453529710513
Q0110,34.0,0.00022866603008741518,0.005488195355181209,0.00024073408498438833,0.001040124911727778,6.367981257478726e+86,0.2748319641523525
YIL111W,41.0,0.0006648699480924135,0.005985851528752474,0.00024176294834943673,0.00033917459627007095,5.385562173038563e+87,0.275243081525804
Q0140,86.0,0.010897209073373727,0.014549343263118943,0.00023354750080137356,0.0009287383768265657,1.4473337752425985e+90,0.2736330739106727
YHR051W,62.0,0.00046166056906601357,0.006291276528199875,0.00038706773260375506,0.0004160237214279485,2.5961438962527806e+87,0.27812767672696126
YJL062W-A,6.0,4.593428803618093e-06,0.0046598158047275445,7.55181534443725e-05,1.558327192746644e-06,2.569373994718001e+83,0.22604422604422605
YPL132W,22.0,5.4211732375141415e-05,0.005042284390128805,0.0001889560502414932,0.00045425447284945183,3.582368469135521e+85,0.25483588015327086
YER141W,26.0,2.8615530605082705e-05,0.005131350654965004,0.0002114475408463635,0.0005153758942801119,9.966863912039983e+84,0.2603650771190038
Q0085,72.0,0.005614915709184019,0.01030339065670334,0.00038424765304835736,0.003538992072217504,3.8417824280770307e+89,0.2969977402345852
YJR048W,58.0,0.00045601037440911815,0.006191444628325068,0.0003976747765199784,0.00475989436929788,2.533442328759519e+87,0.303981496778457
YDL044C,8.0,1.4454769784690275e-05,0.004708984911543165,0.00010031255702621234,0.000401941939493591,2.544964168489554e+84,0.2507267441860465
YPL172C,25.0,4.1332063184160307e-05,0.005105004224223479,0.00021535523960412314,0.000358280032124962,2.081250997535525e+85,0.25451862781261525
YDR529C,62.0,0.0005683441514424301,0.006371003075472095,0.0003768330838241792,0.0005187313449208813,3.934509152410307e+87,0.28053056868425064
YFR033C,31.0,0.00015410054218858025,0.00536199532445127,0.0001995415627718732,2.944759995790982e-05,2.891946585494219e+86,0.2574746956481179
YGR183C,60.0,0.0003935338645037041,0.0061811308943610635,0.0003872518017498719,0.004873281062736913,1.8860106509036657e+87,0.27762410099079615
YNL052W,45.0,0.00044855925892380797,0.005920702347792493,0.0002709750189222342,0.00014253454267495674,2.4509582616320594e+87,0.2747088683189012
YIR021W,7.0,2.230377948504894e-05,0.004695423386797331,8.221780945696373e-05,0.00010253125267202578,6.058038871768001e+84,0.24419376244193763
YLR203C,14.0,3.487162852227207e-05,0.004856384495804809,0.00014107371554928258,0.0004208195878288546,1.4818814844316752e+85,0.24891774891774893
YLR038C,45.0,0.0002692948713944589,0.005771171425783777,0.00028345345862733167,0.0004222623390806004,8.831325124691061e+86,0.27239082161361955
YGR112W,21.0,3.0794637688059316e-05,0.0050115377115636855,0.00019192646158898077,0.00039424906246055127,1.1553702314731748e+85,0.24994340049807562
Q0130,62.0,0.0008396221049422334,0.006528743655508697,0.0004252208006776075,0.0027549089338958855,8.590208559317724e+87,0.29310253278819093
YNL310C,9.0,8.372584191879557e-06,0.004729679201117054,8.188827281465348e-05,2.485587620046043e-05,8.542123638237612e+83,0.24171300958970093
YPL029W,23.0,0.0011147579104680146,0.005851657849785972,0.00013912770836084734,0.000554086971055058,1.512031436671669e+88,0.2561247216035635
YPR134W,4.0,6.111062816921301e-06,0.004612893492691149,5.969149236670559e-05,1.8313636359626246e-06,4.5384641334124917e+83,0.21598779199436555
YOR350C,2.0,8.587668410985702e-07,0.004569077236761365,4.4544406907796844e-05,0.0,8.972235072835251e+81,0.2046870364876891
YPL005W,13.0,0.0002507401036556695,0.0049751077468426505,0.00015856557476880012,0.0007269206134993203,7.662940998114365e+86,0.24915368991198375
YPL078C,39.0,0.00037362955358126134,0.005698295602146627,0.0002379407417719388,0.00011667079310227422,1.7011451283157466e+87,0.2641780330222541
YDL004W,57.0,0.0012510365743389515,0.006755913761155663,0.0003251961913587813,0.0004434203854523881,1.907134102381703e+88,0.2820787980990342
